German,English,German Sentence,Cloze Sentence,English Sentence,Image,Vocab Audio,Sentence Audio
"die Telefonnummer, die Telefonnummern","phone number, phone numbers",Meine Telefonnummer ist 123456789.,Meine Telefonnummer ist 123456789.,Meine __ ist 123456789.,,media/azure-e8f632b9-058202e3-8d405672-077a9c09-47f00276.mp3,media/azure-3cae3c5f-6813c3bd-e28c26ba-bd858d8e-c314a7bc.mp3
einundzwanzig,twenty-one,Ich habe einundzwanzig Jahre.,Ich habe einundzwanzig Jahre.,Ich habe __ Jahre.,,media/azure-74b3852f-91a0c776-eee5f5c1-2d366ceb-eb7c5e79.mp3,media/azure-3d252e70-256a5b11-62dd32e7-d6b4581d-8a089d2c.mp3
dreißig,thirty,Er ist dreißig Jahre alt.,Er ist dreißig Jahre alt.,Er ist __ Jahre alt.,,media/azure-b137613d-fb5cc258-cab91e49-64393c10-e970c541.mp3,media/azure-3020d6b8-f67c3dda-4eb348d5-a82dcd6c-892c7967.mp3
siebzig,seventy,Mein Großvater ist siebzig Jahre alt.,Mein Großvater ist siebzig Jahre alt.,Mein Großvater ist __ Jahre alt.,,media/azure-5b06fdbd-cfb8b1c4-b9eb64c1-e5419189-ecb9e1f7.mp3,media/azure-682d6837-9e0dbc51-8cfe70f4-c80d6f1a-2f4e48cf.mp3
hundert,hundred,Ich habe hundert Euro.,Ich habe hundert Euro.,Ich habe __ Euro.,,media/azure-df6a8372-78918f4d-f4d1b0b0-24bc772e-27387a73.mp3,media/azure-1383d53b-5c29fc09-193eeefc-67a558cb-a4999b91.mp3
"die Adresse, die Adressen","address, addresses",Meine Adresse ist in Berlin.,Meine Adresse ist in Berlin.,Meine __ ist in Berlin.,,media/azure-0ff4988f-a6ac2314-a185c82f-dd89e7bd-b57a72f2.mp3,media/azure-97fd060b-898d4700-d37662f2-34f0c281-1b5a986d.mp3
das Alter,age,Ihr Alter ist 25 Jahre.,Ihr Alter ist 25 Jahre.,Ihr __ ist 25 Jahre.,,media/azure-d618d7ac-844d8a07-d5898775-4cb1a5ee-523e635c.mp3,media/azure-a22de96d-928b0715-9451b8cd-f23372d5-b4d45149.mp3
der Geburtsort,place of birth,Mein Geburtsort ist Frankfurt.,Mein Geburtsort ist Frankfurt.,Mein __ ist Frankfurt.,,media/azure-8ebf994b-a838d608-0780de2d-3c8fdc12-1de8c75c.mp3,media/azure-98b2e489-f4024444-47f5ed26-c61597c4-b63adaa6.mp3
"der Wohnort, die Wohnorte","place of residence, places of residence",Mein Wohnort ist München.,Mein Wohnort ist München.,Mein __ ist München.,,media/azure-11c645e0-a93c3b6e-52993661-1cecf5f5-12f4ddbd.mp3,media/azure-5fdeb93c-56dba472-0740eea2-07201699-e9ffc23a.mp3
"der Stuhl, die Stühle","chair, chairs",Der Stuhl ist bequem.,Der Stuhl ist bequem.,__ ist bequem.,,media/azure-f91c188f-9b6d4715-0ff631ce-2af9f8e2-b128d76f.mp3,media/azure-8a008c7f-ea0b85bb-d1ba9870-66db3f7c-07e76b7b.mp3
"der Stift, die Stifte","pen, pens",Ich schreibe mit einem Stift.,Ich schreibe mit einem Stift.,Ich schreibe mit einem __.,,media/azure-9321dd3b-3814e452-f307cc72-5f201b5a-f801641b.mp3,media/azure-782d44a9-1cc80e89-5043fc1d-901cd277-edc9ae01.mp3
"das Buch, die Bücher","book, books",Ich lese ein interessantes Buch.,Ich lese ein interessantes Buch.,Ich lese ein interessantes __.,,media/azure-4757c2da-de48314d-2e4be66c-4aa69668-a89ebdf1.mp3,media/azure-c2ab8023-c2abac6c-92c62db2-8c9221d2-99a2efad.mp3
"der Computer, die Computer","computer, computers",Der Computer ist neu.,Der Computer ist neu.,__ ist neu.,,media/azure-801138c0-11f71eb0-7365b8d6-16da0cd3-197003b2.mp3,media/azure-326a8b9e-c2560c0b-f6f3c5f3-10f984d2-5299629a.mp3
"die Maus, die Mäuse","mouse, mice",Die Maus ist kabellos.,Die Maus ist kabellos.,__ ist kabellos.,,media/azure-a9659d21-52b8e6c3-f8d3f618-9ea47e89-2f23f546.mp3,media/azure-4a6c20b3-233d9489-8eee6fda-0489d0ba-45c8cec0.mp3
"die Tastatur, die Tastaturen","keyboard, keyboards",Ich benutze eine Tastatur.,Ich benutze eine Tastatur.,Ich benutze eine __.,,media/azure-ae530dec-da78af46-c5a32187-4b4e9880-fbd2fb34.mp3,media/azure-6db402e5-8444cdec-d13bbf20-a57765f3-d3c61cc3.mp3
"der Bildschirm, die Bildschirme","screen, screens",Der Bildschirm ist sehr groß.,Der Bildschirm ist sehr groß.,__ ist sehr groß.,,media/azure-9598e6a5-e42a4611-fe3b4b12-3c009802-19dac5a1.mp3,media/azure-60685c00-bbbe3ff0-a5e3c333-f10bac98-2a1f1803.mp3
"das Handy, die Handys","mobile phone, mobile phones",Mein Handy ist aufgeladen.,Mein Handy ist aufgeladen.,Mein __ ist aufgeladen.,,media/azure-80564223-b801b7c4-f31cc601-d88575a7-78513c93.mp3,media/azure-d604b187-d5cf3053-93345225-86806aba-433a3437.mp3
"die Tasche, die Taschen","bag, bags",Ich habe meine Tasche vergessen.,Ich habe meine Tasche vergessen.,Ich habe meine __ vergessen.,,media/azure-15f16f94-736e9e4c-0e7938d8-ff7efa71-011f766e.mp3,media/azure-7b06e7e7-f975ba32-c1325bbb-e8870e2f-0c71c543.mp3
"die E-Mail, die E-Mails","email, emails",Ich habe dir eine E-Mail geschickt.,Ich habe dir eine E-Mail geschickt.,Ich habe dir eine __ geschickt.,,media/azure-59bd85e2-cea31a86-0c2fc6d7-c95fef32-de3382f5.mp3,media/azure-58035231-9e3c733e-4fa1d5fc-2a7a74db-a374f08c.mp3
die Musik,music,Ich höre gerne Musik.,Ich höre gerne Musik.,Ich höre gerne __.,,media/azure-38a1c527-40f18840-c1f41d00-878c3a8a-778996c0.mp3,media/azure-e4db3c18-0ae90ac3-4bbdd355-fa172c1b-1b2e2e7e.mp3
lesen,to read,Ich lese ein Buch.,Ich lese ein Buch.,Ich __ ein Buch.,,media/azure-69f3e27b-d073dbfb-29c3738d-d9d99dce-6f09b4b6.mp3,media/azure-7b06a187-677ca2cc-4b49215a-5ea99c6f-0e3e4883.mp3
schreiben,to write,Sie schreibt einen Brief.,Sie schreibt einen Brief.,Sie __ einen Brief.,,media/azure-2e8a908b-33830179-2d234de5-86b681f2-64285697.mp3,media/azure-bb5edbae-2d1e4e6f-82dd26e9-b55b88d5-112c20db.mp3
hören,to hear,Ich höre Musik.,Ich höre Musik.,Ich __ Musik.,,media/azure-aed021d0-3d35d231-ba92cf4e-95c66e04-0369b43d.mp3,media/azure-e1ef88a9-375c6c3a-50f06b28-809d39d3-343b99d8.mp3
lernen,to learn,Wir lernen Deutsch.,Wir lernen Deutsch.,Wir __ Deutsch.,,media/azure-78bcd5ee-de3a74a3-7ec29329-0b67a0f4-659ba847.mp3,media/azure-16de0488-963e5df2-db503261-5095689b-f4adaa64.mp3
"der Lehrer, die Lehrerin","teacher (male), teacher (female)",Der Lehrer erklärt die Aufgabe.,Der Lehrer erklärt die Aufgabe.,__ erklärt die Aufgabe.,,media/azure-a3323ed0-acb2767d-dcd054cf-44660c4c-353857c9.mp3,media/azure-895153dd-f011da87-75d58801-eaa85fbd-152ae225.mp3
"das Tablet, die Tablets","tablet, tablets",Ich benutze ein Tablet.,Ich benutze ein Tablet.,Ich benutze ein __.,,media/azure-cc03f433-c2fa993c-0f8255e9-3292368b-ab7f62b8.mp3,media/azure-d0456d57-57c03014-76a87bb1-a26ac8d9-6dc8a044.mp3
"der Laptop, die Laptops","laptop, laptops",Mein Laptop ist sehr schnell.,Mein Laptop ist sehr schnell.,Mein __ ist sehr schnell.,,media/azure-0f95faa1-9fa9b5b0-4b9cd3fb-9c0c3c8d-8af25ba1.mp3,media/azure-3ea08a00-ea08f414-bb48bb35-15ad4a40-41720501.mp3
"der Kuli, die Kulis","pen, pens",Ich schreibe mit einem Kuli.,Ich schreibe mit einem Kuli.,Ich schreibe mit einem __.,,media/azure-dbc50ea1-7657eef3-4933179c-0ce26170-0f818546.mp3,media/azure-bfdc85b3-f53697f6-a4a68ab2-5b759e18-0f669e8f.mp3
"die Übung, die Übungen","exercise, exercises",Ich mache die Übung.,Ich mache die Übung.,Ich mache __.,,media/azure-99c47ae0-31eec7b6-f5dfa55f-95d01ab5-82e068ab.mp3,media/azure-b304acdb-998c9b4d-1146ab2a-d413cfb2-499930db.mp3
neu,new,Der Film ist neu.,Der Film ist neu.,Der Film ist __.,,media/azure-aedbdfbc-c6805f02-455a85de-f0e406c3-f784aa1d.mp3,media/azure-34bee5a2-70ea9589-3b802f4e-909164cc-3bfaac13.mp3
schön,beautiful,Der Park ist sehr schön.,Der Park ist sehr schön.,Der Park ist sehr __.,,media/azure-b977413f-48ac3fe1-fe20e9ed-ccb03fce-f3faac9d.mp3,media/azure-348bfcb9-9b55a23b-410e0e48-b0fb03fc-0bcc7bba.mp3
groß,big,Das Haus ist groß.,Das Haus ist groß.,Das Haus ist __.,,media/azure-ef9fd933-4c614c9d-e56275d3-eb2957da-109c949a.mp3,media/azure-e1c98fd2-6ad09416-9b75c9f3-a30f214f-13e491b0.mp3
klein,small,Der Hund ist klein.,Der Hund ist klein.,Der Hund ist __.,,media/azure-086b636a-551925a4-331a76a4-f17c8861-3434d05d.mp3,media/azure-47d5333e-e5e37df0-aa4761af-9631af93-324527a7.mp3
interessant,interesting,Das Buch ist sehr interessant.,Das Buch ist sehr interessant.,Das Buch ist sehr __.,,media/azure-1c9bb0ed-33cac8f0-57be6439-7a01cc06-5415662f.mp3,media/azure-0e593130-8d340731-02855976-61b3fb45-1c9a4fa9.mp3
einfach,easy,Die Aufgabe ist einfach.,Die Aufgabe ist einfach.,Die Aufgabe ist __.,,media/azure-ce8a38a3-848491ec-6dc51135-d437e564-0777e5b2.mp3,media/azure-c28b8d8f-12d38cce-d1f30253-b57474b9-81b11f0c.mp3
schwierig,difficult,Der Test war schwierig.,Der Test war schwierig.,Der Test war __.,,media/azure-fa666f95-b061ac4d-94d1e13d-b7e2474c-80218306.mp3,media/azure-8b88f634-6e113b77-87306897-c4e25205-751a8510.mp3
richtig,right,Die Antwort ist richtig.,Die Antwort ist richtig.,Die Antwort ist __.,,media/azure-8bd3d2d0-cd4978b5-22a793ea-0a37f3e2-3a4c534a.mp3,media/azure-467db3d8-cff229c5-e6852ef4-d9a8ffa3-ef9c5f9b.mp3
falsch,wrong,Deine Antwort ist falsch.,Deine Antwort ist falsch.,Deine Antwort ist __.,,media/azure-2a5ec032-0c51f09d-23497fdf-20f09663-c4844488.mp3,media/azure-c512e4f2-7954adab-5508fce0-9e56b2c1-173a2f7d.mp3
"der Satz, die Sätze","sentence, sentences",Ich schreibe einen Satz.,Ich schreibe einen Satz.,Ich schreibe einen __.,,media/azure-5854ca51-0883dba5-c4af31da-c83b6f3d-a5b1d2a4.mp3,media/azure-a4e0d482-ced54bad-09301c29-d9c5ceff-7f3cc13f.mp3
einen Deutschkurs machen,to take a German course,Ich mache einen Deutschkurs.,Ich mache einen Deutschkurs.,Ich __ einen __.,,media/azure-57ceb60b-6af1e5bd-fb694e1e-ee9d5b70-376ef1b9.mp3,media/azure-3c054449-d90e7aa3-0b4e6d90-72bf5dc3-c3768a98.mp3
nett,nice,Sie ist sehr nett.,Sie ist sehr nett.,Sie ist sehr __.,,media/azure-a78ce484-9e38fc76-5eca0d23-7888046a-464bf73f.mp3,media/azure-6ef5ff77-57d5b94a-6712f673-3fd8b4c6-ece52ac7.mp3
fragen,to ask,Ich muss etwas fragen.,Ich muss etwas fragen.,Ich muss etwas __.,,media/azure-23e0ac76-73afa082-2c28751d-d171c6dc-954eef3d.mp3,media/azure-00f354fd-17389584-bcd4b015-6fb2743b-7cff576f.mp3
antworten,to answer,Er antwortet auf die Frage.,Er antwortet auf die Frage.,Er __ auf die Frage.,,media/azure-f49df58e-e651a938-035f0c3b-97e610cf-59a2430d.mp3,media/azure-e420d0c4-6eea8ec8-f9939b30-983e5090-5b7a1d97.mp3
der Montag,Monday,Am Montag arbeite ich.,Am Montag arbeite ich.,Am __ arbeite ich.,,media/azure-a3ed69cc-95418d6b-a9df07f8-ca779356-cb359436.mp3,media/azure-3068f20a-1a7dd09c-82b209df-1ca4f2fd-8b3abe95.mp3
der Dienstag,Tuesday,Am Dienstag habe ich frei.,Am Dienstag habe ich frei.,Am __ habe ich frei.,,media/azure-ef3b4abb-209fbcf9-44a5c8a4-9b3c0310-cdeff2f7.mp3,media/azure-eabdc64e-bd40ecb6-156cc196-c5f9cdae-d780f533.mp3
der Mittwoch,Wednesday,Wir haben am Mittwoch einen Termin.,Wir haben am Mittwoch einen Termin.,Wir haben am __ einen Termin.,,media/azure-eeade9c0-104d3520-d57ac9bf-a0638347-871ed798.mp3,media/azure-2f8399e5-a996358d-60a091ad-9226dd89-79555ef3.mp3
der Donnerstag,Thursday,Am Donnerstag gehe ich ins Kino.,Am Donnerstag gehe ich ins Kino.,Am __ gehe ich ins Kino.,,media/azure-d69a70b5-7677cbbc-2ef3bf93-7b093770-6b273ecd.mp3,media/azure-950cb0c9-56b4d139-74c6f953-6f482231-80d45cc7.mp3
der Freitag,Friday,Am Freitag gehen wir essen.,Am Freitag gehen wir essen.,Am __ gehen wir essen.,,media/azure-9542d278-a7b40e1a-cb866075-8cb7b385-b9bca3bc.mp3,media/azure-9e772d00-4861feb5-2ea4f028-625a0c11-ce7d69ee.mp3
der Samstag,Saturday,Am Samstag spiele ich Fußball.,Am Samstag spiele ich Fußball.,Am __ spiele ich Fußball.,,media/azure-f8ef72d8-b31c6dd4-f8681ee6-11f61935-e8bbf9d7.mp3,media/azure-fb0e312e-a5dd96e1-c3a5135b-9c1f0670-9d3419ff.mp3
der Sonntag,Sunday,Am Sonntag entspanne ich mich.,Am Sonntag entspanne ich mich.,Am __ entspanne ich mich.,,media/azure-0518336a-538b2fe5-535cc070-722a7391-759b0605.mp3,media/azure-a480003d-9f15dfc4-ca0cca6f-1c738a79-79e98a4d.mp3
gestern,yesterday,Gestern war es sehr kalt.,Gestern war es sehr kalt.,__ war es sehr kalt.,,media/azure-b8a1a351-11a71dd2-594590cd-b25ea195-46b1041a.mp3,media/azure-02e38216-baa6a813-2343e14d-cf321686-9e3033b7.mp3
heute,today,Heute scheint die Sonne.,Heute scheint die Sonne.,__ scheint die Sonne.,,media/azure-32a234ae-df69fd34-b4f65ae9-ff812b68-432b9945.mp3,media/azure-c2741b80-4afa8fdc-aa5776cf-2fc7dd8e-7cf8275e.mp3
morgen,tomorrow,Morgen werde ich arbeiten.,Morgen werde ich arbeiten.,__ werde ich arbeiten.,,media/azure-934591d8-f166a937-6fcce888-f4569e0c-236e99b4.mp3,media/azure-4c7bd341-564d136e-8e234581-133b6f4a-d70c4524.mp3
"die Brille, die Brillen","glasses, glasses",Ich trage eine Brille.,Ich trage eine Brille.,Ich trage eine __.,,media/azure-bc976408-28d728a4-3fb984d5-f18317c9-54098d07.mp3,media/azure-42a6fbfc-4a579381-819693a4-a4eced4b-47c1f22a.mp3
"die Tür, die Türen","door, doors",Die Tür ist offen.,Die Tür ist offen.,__ ist offen.,,media/azure-f43bed6d-547da985-f63503e0-bb58a80b-5d7129db.mp3,media/azure-7243ce57-956cd378-422fc5cc-c3c304e7-fb607864.mp3
"das Wörterbuch, die Wörterbücher","dictionary, dictionaries",Ich habe ein Wörterbuch.,Ich habe ein Wörterbuch.,Ich habe ein __.,,media/azure-01d11fa8-19c857b7-f4930633-90d7fdf1-77621888.mp3,media/azure-4497fab6-51510e4d-a8def301-aa5bd1f5-f39373da.mp3
das Gemüse,vegetables,Ich esse viel Gemüse.,Ich esse viel Gemüse.,Ich esse viel __.,,media/azure-9e56a90e-c7e86a07-0324f6af-9bee5abf-d55fec25.mp3,media/azure-cfbbb6b4-3e42db38-10c8a089-eb25d545-9338fcc9.mp3
"der Salat, die Salate","salad, salads",Der Salat ist frisch.,Der Salat ist frisch.,__ ist frisch.,,media/azure-30298703-b1346684-1e60268d-95d8a07e-caf4ab8d.mp3,media/azure-87ca04ac-20383362-dbf121ce-44a30e25-fc9ba5e4.mp3
das Fleisch,meat,Ich esse kein Fleisch.,Ich esse kein Fleisch.,Ich esse kein __.,,media/azure-f5156828-19242dad-50c20b00-b2efb1bc-5879a21d.mp3,media/azure-03478fe5-383bc8e8-718d0473-79076a43-b8ed08a1.mp3
"die Wurst, die Würste","sausage, sausages",Ich kaufe Wurst im Supermarkt.,Ich kaufe Wurst im Supermarkt.,Ich kaufe __ im Supermarkt.,,media/azure-d93b88e5-c28d98d8-40dda6d0-d4e8ca6a-4105dc1c.mp3,media/azure-2d696876-291a4df9-d3fae81d-dcaeba8f-3678237c.mp3
das Obst,fruit,Ich esse gern Obst.,Ich esse gern Obst.,Ich esse gern __.,,media/azure-4d84f4db-877a8d24-83d41832-9015c405-8031ce38.mp3,media/azure-704d1359-69c7f210-b85371a3-ee6198e5-ac00f42e.mp3
die Milch,milk,Ich trinke Milch zum Frühstück.,Ich trinke Milch zum Frühstück.,Ich trinke __ zum Frühstück.,,media/azure-40324944-763e870f-26290214-3c8395bf-96454837.mp3,media/azure-3b1749b6-d8c65f40-89e6bacd-a46a2d23-c55e191a.mp3
das Wasser,water,Ich trinke viel Wasser.,Ich trinke viel Wasser.,Ich trinke viel __.,,media/azure-1fc76310-5bded50e-af3a9fc7-64d84084-0566f7be.mp3,media/azure-a970e547-0b3c457a-890cc84f-54727f8f-bf343782.mp3
"der Saft, die Säfte","juice, juices",Möchtest du Saft?,Möchtest du Saft?,Möchtest du __?,,media/azure-b69c8281-7aa6938f-2440cbac-94b476db-b1431796.mp3,media/azure-9bd333fc-abd4bcd9-92d17013-aa91882b-ada8a727.mp3
der Fisch,fish,Der Fisch ist lecker.,Der Fisch ist lecker.,__ ist lecker.,,media/azure-f6c613b5-113aad16-379c8d97-b6d74b58-fb9be18c.mp3,media/azure-ee3a90d1-0f440cc1-47a59f35-5cf72c92-e0b0245e.mp3
"der Kuchen, die Kuchen","cake, cakes",Der Kuchen schmeckt gut.,Der Kuchen schmeckt gut.,__ schmeckt gut.,,media/azure-ccd239f5-934f53e6-d0b29775-11dd36af-a9171cdf.mp3,media/azure-fa7bcc7c-595fa5d0-d465ef74-1b71670b-825f9af2.mp3
das Eis,ice cream,Ich esse gern Eis.,Ich esse gern Eis.,Ich esse gern __.,,media/azure-badde0fc-604de18d-99d641c6-aad5668c-26a6ef6e.mp3,media/azure-88ef2354-068ce37a-ffe7a699-f4adb971-af0d747c.mp3
das Schweinefleisch,pork,Ich esse kein Schweinefleisch.,Ich esse kein Schweinefleisch.,Ich esse kein __.,,media/azure-792aefbe-835748be-408ac4a5-ab99daf3-003b1eae.mp3,media/azure-340b152b-8ecea938-efe7aae1-58d7ad76-3074075e.mp3
"der Tee, die Tees","tea, teas",Ich trinke gern Tee.,Ich trinke gern Tee.,Ich trinke gern __.,,media/azure-1fd64401-811f5fe0-ec57b248-5ec85526-6a0ff548.mp3,media/azure-0ef993b7-a3e2223f-9d3d0960-1afd6c25-153727af.mp3
"der Joghurt, die Joghurts","yogurt, yogurts",Der Joghurt ist lecker.,Der Joghurt ist lecker.,__ ist lecker.,,media/azure-41a88d0b-d9963369-2a6b308d-5141d17b-027f4851.mp3,media/azure-229dc52a-ef8a83e1-cacc4147-c7183086-0febe242.mp3
der Reis,rice,Ich esse gerne Reis.,Ich esse gerne Reis.,Ich esse gerne __.,,media/azure-6453834e-59608ee4-9a1af0c7-05d66a14-3112e014.mp3,media/azure-ef18ab1d-c49c22d6-98bf4dd8-8f4497a1-0803fc18.mp3
"das Brot, die Brote","bread, breads",Ich kaufe frisches Brot.,Ich kaufe frisches Brot.,Ich kaufe frisches __.,,media/azure-f44aeb9f-404512ab-d2cf4e8f-9cbc6e42-5a118a5c.mp3,media/azure-0e5d9351-30d76fdd-cb93fc0f-7aa06de7-d3019926.mp3
"das Brötchen, die Brötchen","bread roll, bread rolls",Ich esse ein Brötchen.,Ich esse ein Brötchen.,Ich esse ein __.,,media/azure-2e8d5e4a-86fc05bc-87c4710b-d007bcbd-8a5e86f8.mp3,media/azure-ac9f444d-e8009aee-462808e9-f9cc544e-95934194.mp3
"der Kaffee, die Kaffees","coffee, coffees",Ich trinke morgens Kaffee.,Ich trinke morgens Kaffee.,Ich trinke morgens __.,,media/azure-62e0517b-f2051999-98c41ee6-2d882889-16a34f5a.mp3,media/azure-67ae2960-1e8e7a0b-2bb6c965-58cc92ae-6edbbfde.mp3
der Käse,cheese,Ich mag Käse.,Ich mag Käse.,Ich mag __.,,media/azure-0d0cdd5c-1e729ef0-a4cf4893-cd9dba84-1b0abf4e.mp3,media/azure-f1c8f8b0-4c031107-09420f2a-d85c1b3e-f5d3efd4.mp3
"das Hähnchen, die Hähnchen","chicken (cooked), chickens",Ich esse Hähnchen.,Ich esse Hähnchen.,Ich esse __.,,media/azure-9ff6c0e8-e235f28b-fa61780a-b178db30-b8ffb6c1.mp3,media/azure-d70baedc-fd3c4992-40c4ec2b-a7c73729-b85b7676.mp3
mögen,to like,Ich mag Schokolade.,Ich mag Schokolade.,Ich __ Schokolade.,,media/azure-a2dc4163-e8de8f2a-67e65237-8e730d21-303ae7f2.mp3,media/azure-17d57436-e3927a46-6fb44e1c-9e4fb8b5-d5a9084c.mp3
essen,to eat,Wir essen Mittagessen.,Wir essen Mittagessen.,Wir __ Mittagessen.,,media/azure-47155683-5a9276ec-3fbc9d8c-bb174cba-ac856875.mp3,media/azure-ee8328f2-5e4f0424-f7d53e4a-2c283d7a-3b1943d5.mp3
trinken,to drink,Ich trinke Wasser.,Ich trinke Wasser.,Ich __ Wasser.,,media/azure-86299659-7f07bc06-e85f59c6-d21a044d-eb486316.mp3,media/azure-d002271a-44a517c8-1af43de2-aaa41068-2b8615b3.mp3
"der Apfel, die Äpfel","apple, apples",Ich esse einen Apfel.,Ich esse einen Apfel.,Ich esse einen __.,,media/azure-ba25f558-ddf810ac-102ec381-0c14f4c6-87973195.mp3,media/azure-f3e94ad1-2bc14273-a6806061-a400ecec-0ae74642.mp3
"die Banane, die Bananen","banana, bananas",Ich esse eine Banane.,Ich esse eine Banane.,Ich esse eine __.,,media/azure-15dd264b-a156b784-27957a8d-b48a9fb9-1db60014.mp3,media/azure-472cc18d-bd0b44b3-550d8972-cb5eaad1-47711962.mp3
"das Ei, die Eier","egg, eggs",Ich esse ein Ei.,Ich esse ein Ei.,Ich esse ein __.,,media/azure-b3f14574-146a7960-c671af48-ed658969-34763c12.mp3,media/azure-8d25fab7-62a3d781-37b31a8f-7a06dee8-12a8b810.mp3
"die Gurke, die Gurken","cucumber, cucumbers",Ich schneide eine Gurke.,Ich schneide eine Gurke.,Ich schneide eine __.,,media/azure-26f46e58-48a43e4f-a042dd97-6aa0ef6b-c47c9f94.mp3,media/azure-2e8f60b8-3e1ba09f-1ba26959-69c07baf-da892f80.mp3
"das Getränk, die Getränke","drink, drinks",Was für ein Getränk möchtest du?,Was für ein Getränk möchtest du?,Was für ein __ möchtest du?,,media/azure-56614eb9-a86174c1-b98d1c75-5b0234b0-507167aa.mp3,media/azure-a3f1af02-dca5f5d1-cf4a0599-ac18d27d-eb53484c.mp3
"der Paprika, die Paprika","pepper (vegetable), peppers",Ich mag Paprika.,Ich mag Paprika.,Ich mag __.,,media/azure-f3dc703c-eead6707-4f42b5fe-24790fe1-2a9a005c.mp3,media/azure-552aea15-1f74aca8-d27fb9f3-33f471d9-7c75e304.mp3
"die Nudel, die Nudeln","noodle, noodles",Ich esse Nudeln zum Mittagessen.,Ich esse Nudeln zum Mittagessen.,Ich esse __ zum Mittagessen.,,media/azure-a9f4689b-96af913b-25ee87b1-2dd49bcb-1874f0b3.mp3,media/azure-96a1f06a-5c9f5dbf-bb374aef-3d6b8124-37c2fffd.mp3
"die Möhre, die Möhren","carrot, carrots",Ich esse eine Möhre.,Ich esse eine Möhre.,Ich esse eine __.,,media/azure-11a376ac-03667301-1c6f9ec3-888380eb-fb692cbb.mp3,media/azure-61599991-6439d28f-1b3a21f1-eb5b670d-ac6550aa.mp3
"die Tomate, die Tomaten","tomato, tomatoes",Ich schneide die Tomaten.,Ich schneide die Tomaten.,Ich schneide __.,,media/azure-7baeb9bc-baf11c10-6dce2292-8789e59f-d1fcc312.mp3,media/azure-d896d6a9-50fdd5ad-de19d905-dc4f0725-25177a7d.mp3
"die Zwiebel, die Zwiebeln","onion, onions",Ich schneide die Zwiebel.,Ich schneide die Zwiebel.,Ich schneide __.,,media/azure-2c9a15a7-31a8cf0d-cf75668f-bcda340c-cc47c0e2.mp3,media/azure-e9c8332c-6da4ee5d-2bd8aa92-64140812-801cc34e.mp3
brauchen,to need,Ich brauche einen Stift.,Ich brauche einen Stift.,Ich __ einen Stift.,,media/azure-68d08c52-6bcb54a9-2f77d039-572342bc-39f128ee.mp3,media/azure-e99112f4-2534cb9c-be522c6f-9afaf94a-918a8e39.mp3
kaufen,to buy,Ich kaufe ein neues Buch.,Ich kaufe ein neues Buch.,Ich __ ein neues Buch.,,media/azure-2e40b6a9-5ea1935e-b3baa1fb-23cbf7d7-1c991f67.mp3,media/azure-de09fde7-697db8c9-793fc9f8-ec4fbaf4-85347a11.mp3
kochen,to cook,Ich koche Mittagessen.,Ich koche Mittagessen.,Ich __ Mittagessen.,,media/azure-98027561-e191400d-c09db23c-65f1ca47-87dadca6.mp3,media/azure-b6078b7d-b20dc13e-ef6b1b06-6d39deb3-66067fe2.mp3
"das Kilo, die Kilos","kilogram, kilograms",Ich kaufe zwei Kilos Äpfel.,Ich kaufe zwei Kilos Äpfel.,Ich kaufe zwei __ Äpfel.,,media/azure-3d06e337-bf69f19d-f59821c1-e75c7366-feb06e76.mp3,media/azure-a44c24a9-b20efac7-1ae14182-416ba5fe-7da5f74b.mp3
"der Liter, die Liter","liter, liters",Ich trinke einen Liter Wasser.,Ich trinke einen Liter Wasser.,Ich trinke einen __ Wasser.,,media/azure-81c0cb43-16f9b06b-baca58d1-f5687b94-ec240928.mp3,media/azure-29538700-ab653799-7edce218-02d1ce88-74b9534d.mp3
"das Stück, die Stücke","piece, pieces",Ich nehme ein Stück Kuchen.,Ich nehme ein Stück Kuchen.,Ich nehme ein __ Kuchen.,,media/azure-79ef527a-098b5f59-7eba0b39-34dfbef1-77176267.mp3,media/azure-7a6c9aff-7932c9cb-e5ced3b7-f2db54a1-ecb2512f.mp3
"die Tüte, die Tüten","bag, bags",Ich habe eine Tüte Äpfel.,Ich habe eine Tüte Äpfel.,Ich habe eine __ Äpfel.,,media/azure-54ce6bbb-53445cbf-3af0a588-85693139-f65325e3.mp3,media/azure-0ed1ae1c-a9baeefe-e3a0cdf9-5af2e4c0-5fc4101a.mp3
"die Flasche, die Flaschen","bottle, bottles",Ich kaufe eine Flasche Wasser.,Ich kaufe eine Flasche Wasser.,Ich kaufe eine __ Wasser.,,media/azure-642d6169-684b4444-e71088e7-8bf49d39-6ed6914b.mp3,media/azure-761ed50b-e0814d4a-3b44e023-96fd1c44-eacbec93.mp3
"das Glas, die Gläser","glass, glasses",Ich trinke aus einem Glas.,Ich trinke aus einem Glas.,Ich trinke aus einem __.,,media/azure-4fadf67b-0d05dc28-1a361b68-8050d0c2-bb3a7f23.mp3,media/azure-4f9cb187-24b183ed-5b9f50e6-6b17ca09-bed79dc5.mp3
